miRNA_Name	EC18	EC19	EC38	EC54	EC63	EC64	EC65	EC7	EU18	EU19	EU38	EU54	EU63	EU64	EU65	EU7
hsa-miR-937-3p	1	1	0	1	0	0	1	1	2	1	2	1	1	4	1	4
hsa-miR-939-5p	1	6	2	0	1	0	0	1	1	1	5	1	1	0	0	0
hsa-miR-632	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
hsa-miR-27a-3p	49416	21755	30161	28957	26261	16402	19889	24327	33502	45631	31984	26082	30713	42173	30007	17856
hsa-miR-544b	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6820-5p	0	1	0	0	0	1	0	1	0	2	0	3	0	5	1	2
hsa-miR-6894-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4793-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-651-5p	2	1	2	1	3	3	6	1	2	13	7	0	3	3	6	2
hsa-miR-141-5p	20	16	94	20	28	1	20	25	1183	1754	2090	550	1024	2001	1245	1326
hsa-miR-1238-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
hsa-miR-6763-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-29a-3p	50625	73818	68217	59613	58286	32902	43903	87251	44711	68994	33238	56899	54380	34286	74130	30759
hsa-miR-4671-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-93-5p	6560	3375	5449	3898	6656	3476	5684	3493	8132	12621	11557	15588	10001	13026	10604	15445
hsa-miR-4745-3p	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6748-3p	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-4773	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-378a-5p	154	55	53	69	61	90	114	69	134	155	118	97	64	168	113	121
hsa-miR-1185-2-3p	16	31	43	17	21	8	11	17	10	12	14	30	21	12	20	11
hsa-miR-192-3p	1	2	1	0	3	3	1	1	4	7	6	11	8	4	5	4
hsa-miR-143-3p	879835	1382831	941804	665639	1295606	2603311	865631	845960	361055	321040	202725	649377	449159	303292	356360	233190
hsa-miR-142-5p	164921	45761	84671	125184	72964	20238	102105	90230	37381	81542	35679	68113	152664	38602	88044	21408
hsa-miR-301a-3p	2901	2377	2963	2155	2230	1395	1875	1700	3553	3854	6823	4452	4531	5750	3621	7761
hsa-miR-520h	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-323a-3p	84	650	346	100	139	124	91	246	240	210	245	313	287	219	148	170
hsa-miR-206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1910-3p	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4797-3p	0	1	2	0	0	0	1	2	1	3	0	1	0	4	2	0
hsa-miR-4491	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0
hsa-miR-4758-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4497	17	2	6	12	16	4	31	5	25	3	7	2	8	4	16	2
hsa-miR-4761-5p	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	1
hsa-miR-4498	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0
hsa-miR-6131	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0
hsa-miR-1538	0	1	0	1	0	0	0	0	2	1	1	0	0	0	0	0
hsa-miR-592	114	199	109	150	144	11	111	203	20	33	9	20	15	34	24	52
hsa-miR-2355-5p	135	62	72	58	92	30	77	70	25	40	31	59	56	35	60	14
hsa-miR-6740-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-718	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-142-3p	11999	2635	5975	9051	3955	1096	5642	4500	2459	4311	2654	4213	10160	2075	5385	1779
hsa-miR-6764-3p	4	0	1	0	0	1	0	0	2	3	0	4	3	1	2	5
hsa-miR-198	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-181a-5p	262401	118497	126165	185399	136626	85254	155340	137000	176805	299833	277245	109418	165606	366229	188696	140056
hsa-miR-301b-3p	617	328	595	326	423	132	298	271	834	798	1702	1144	1138	1265	785	2057
hsa-miR-449a	86	7	17	88	113	8	55	55	3043	2365	4942	12479	4920	5156	3970	10463
hsa-miR-6857-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-611	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-488-3p	1	159	62	15	18	23	27	56	17	49	29	99	21	39	6	49
hsa-miR-133a-3p	1505	2956	1208	756	1135	2581	1246	931	385	339	181	450	305	297	497	409
hsa-miR-6728-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4772-3p	34	7	18	20	9	0	14	19	5	11	3	7	2	5	1	7
hsa-miR-3074-3p	0	0	0	0	0	0	0	0	2	0	2	2	2	1	0	2
hsa-miR-4729	0	1	3	0	1	0	1	0	0	1	0	1	0	0	0	0
hsa-miR-216a-3p	7	11	31	18	10	0	5	10	0	1	1	2	3	1	6	1
hsa-miR-30c-2-3p	125	146	219	145	123	62	120	212	281	371	338	374	271	512	341	308
hsa-miR-4651	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-1249-3p	27	6	5	5	6	3	13	5	7	4	1	6	0	3	6	3
hsa-miR-4657	0	0	0	2	0	0	0	0	0	2	2	0	1	0	0	0
hsa-miR-4656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4654	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0
hsa-miR-154-5p	128	455	315	103	256	153	121	228	91	85	59	119	132	57	76	62
hsa-miR-4446-3p	0	0	0	0	0	0	2	0	0	7	1	0	4	6	4	2
hsa-miR-1322	2	0	2	0	1	0	1	0	0	1	1	1	0	1	0	0
hsa-miR-4791	0	0	0	0	1	0	0	0	0	0	0	0	3	1	1	0
hsa-miR-223-3p	5329	2525	7623	2397	3564	435	3128	3867	443	989	283	1018	587	527	414	321
hsa-miR-4794	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-100-3p	165	149	188	167	129	64	82	170	62	86	54	151	37	94	165	102
hsa-miR-122-5p	0	0	27	0	0	0	0	1	0	0	1	0	0	0	0	0
hsa-miR-636	1	0	0	1	3	0	1	0	1	1	0	0	2	0	2	0
hsa-miR-6869-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-6753-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-26a-2-3p	76	30	27	32	37	24	41	46	48	68	78	51	37	63	56	52
hsa-miR-6823-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-375	174	46	214	36	11	13	157	77	14544	32754	12096	2814	6486	39997	10134	51449
hsa-miR-433-5p	3	41	27	5	7	8	9	12	17	11	8	11	11	8	6	7
hsa-miR-3927-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-642a-5p	5	2	1	2	3	0	7	5	5	8	1	4	10	2	5	0
hsa-miR-3617-5p	4	1	3	1	2	1	1	2	0	2	0	3	0	5	1	4
hsa-miR-3065-3p	82	56	57	35	41	40	46	43	57	43	134	54	68	169	69	145
hsa-miR-1237-3p	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
hsa-miR-30c-1-3p	86	112	144	129	91	59	100	124	143	190	187	223	202	234	85	260
hsa-miR-1269b	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-323b-3p	23	160	79	20	42	18	54	59	59	46	70	68	54	52	83	46
hsa-miR-4536-5p	2	2	4	1	2	1	2	1	3	1	0	1	2	2	1	2
hsa-miR-31-3p	15	1	47	131	33	3	20	29	32	30	30	40	39	34	45	33
hsa-miR-3934-5p	7	5	4	5	2	1	6	5	10	10	20	13	19	14	20	10
hsa-miR-664a-5p	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0
hsa-miR-6834-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-744-3p	121	57	46	72	78	40	59	39	34	52	66	78	62	65	58	71
hsa-miR-508-5p	1	149	50	7	1	183	5	6	2	0	1	3	1	1	1	2
hsa-miR-5000-3p	8	6	6	6	5	6	11	5	7	5	4	5	7	10	6	9
hsa-miR-3120-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-377-5p	43	115	194	26	60	65	58	97	63	74	23	24	88	76	19	26
hsa-miR-6509-5p	9	3	3	6	5	0	1	6	3	3	3	4	2	1	4	1
hsa-miR-424-3p	0	0	0	0	0	1	0	0	1	6	0	1	0	0	1	1
hsa-miR-6837-5p	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0
hsa-miR-889-5p	6	15	9	3	7	4	2	7	8	7	3	6	2	4	5	1
hsa-miR-107	2192	2595	2229	1800	2731	2578	2795	2596	3482	6841	5880	5262	4615	6896	4381	3653
hsa-miR-892b	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-3117-3p	39	10	0	38	55	5	26	13	26	31	0	61	29	24	55	17
hsa-miR-668-3p	5	56	20	7	8	12	14	25	24	25	23	20	18	30	13	16
hsa-miR-485-3p	204	711	365	175	168	113	161	335	167	135	112	156	139	89	100	85
hsa-miR-6715b-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3144-3p	1	3	1	2	0	2	1	0	0	2	3	5	2	4	1	1
hsa-miR-581	1	0	0	5	0	1	0	0	0	3	1	3	3	1	0	5
hsa-miR-588	0	0	1	3	0	1	0	0	1	4	1	1	8	3	1	1
hsa-miR-4274	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3612	0	0	0	0	0	0	0	0	2	0	0	2	1	0	1	6
hsa-miR-4479	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-3680-5p	4	1	1	3	0	0	2	1	1	1	1	1	1	1	1	1
hsa-miR-1257	0	7	0	0	1	0	0	1	1	0	0	0	0	0	2	0
hsa-miR-1258	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0
hsa-miR-6501-5p	9	1	6	7	2	0	5	2	2	6	7	8	5	8	5	7
hsa-miR-92b-5p	14	24	7	7	8	9	13	15	21	20	25	31	18	23	31	11
hsa-miR-3679-5p	2	1	1	1	1	0	2	0	2	0	1	0	2	0	2	0
hsa-miR-4695-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3667-5p	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-6796-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-378b	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
hsa-miR-378c	1338	353	433	656	520	474	924	558	995	1226	1224	548	1015	1944	1090	595
hsa-miR-6866-3p	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1
hsa-miR-4653-5p	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0
hsa-miR-4781-5p	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1
hsa-miR-6852-5p	12	4	11	6	5	1	12	0	1	5	2	11	8	5	11	4
hsa-miR-584-3p	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-20b-5p	36	29	72	28	130	56	91	27	252	305	435	310	902	282	528	553
hsa-miR-4727-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-411-5p	4205	42788	17036	5967	5939	13505	6940	12499	8277	8943	7399	9653	14719	9982	8311	6518
hsa-miR-922	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-423-3p	8284	8432	6393	5327	4525	3207	5219	6821	10743	15978	11110	9854	9159	14363	8552	11663
hsa-miR-215-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6801-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
hsa-miR-652-3p	454	384	265	229	439	223	273	285	205	417	288	255	401	314	406	159
hsa-miR-3159	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1
hsa-miR-1228-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-3154	10	3	3	8	6	0	3	9	5	3	0	2	3	0	4	1
hsa-miR-5191	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
hsa-miR-3924	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-2277-3p	7	12	3	4	5	2	5	4	9	5	8	14	4	6	12	11
hsa-miR-106b-5p	1869	1559	1827	1394	1907	1026	1594	1325	2707	4548	3831	4260	2923	3639	3455	3693
hsa-miR-380-5p	2	7	9	2	1	2	2	5	1	1	3	6	6	3	5	3
hsa-miR-4798-5p	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0
hsa-miR-939-3p	0	2	0	0	0	0	1	0	1	0	2	1	1	2	1	1
hsa-miR-509-5p	3	356	84	21	2	627	7	13	2	4	1	10	4	4	4	3
hsa-miR-6805-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-6878-5p	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2
hsa-miR-5002-3p	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0
hsa-miR-342-3p	12600	8806	6407	5857	4860	2901	7736	9775	9531	13693	10479	12428	11341	7380	10899	12107
hsa-miR-211-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3
hsa-miR-1-5p	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0
hsa-miR-3657	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3654	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
hsa-miR-363-3p	113	125	239	147	452	261	415	163	708	1263	1205	740	2256	1021	1190	1107
hsa-miR-3651	2	7	6	0	3	8	8	6	9	5	4	4	3	5	5	4
hsa-miR-3659	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6870-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5706	0	1	0	0	0	0	1	0	0	1	1	1	0	1	1	1
hsa-miR-1909-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
hsa-miR-4742-3p	6	5	6	1	1	1	5	4	3	5	5	6	8	5	3	5
hsa-miR-1180-3p	206	533	280	178	174	117	181	273	306	364	322	614	274	276	316	334
hsa-miR-2115-5p	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0
hsa-miR-6818-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
hsa-miR-3622b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4782-5p	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-205-3p	0	0	0	0	0	0	0	0	1	0	0	2	0	3	0	0
hsa-miR-4802-5p	4	3	2	4	2	0	2	1	1	2	2	0	0	1	1	1
hsa-miR-216b-3p	0	1	2	1	2	0	1	3	0	0	0	0	0	0	0	0
hsa-miR-34b-3p	13	4	11	11	25	4	18	13	82	141	210	290	288	198	542	544
hsa-miR-518c-3p	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
hsa-miR-409-5p	35	150	112	47	78	122	23	105	45	31	38	59	182	31	44	46
hsa-miR-5580-3p	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
hsa-miR-218-5p	741	179	666	1617	463	198	746	536	619	735	559	396	880	824	863	512
hsa-miR-6837-3p	4	0	3	1	2	0	2	2	2	2	0	1	3	3	0	2
hsa-miR-7853-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4433b-3p	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4800-3p	0	0	0	0	0	0	2	0	0	1	0	2	1	0	1	1
hsa-miR-23a-5p	3	1	2	1	0	1	0	0	1	4	2	6	2	2	5	2
hsa-miR-3136-5p	9	0	6	6	5	2	3	5	4	7	17	7	11	10	12	16
hsa-miR-491-5p	31	16	23	25	17	6	12	14	9	9	11	12	20	5	4	20
hsa-miR-372-3p	0	14	8	0	2	3	2	2	13	4	31	11	16	7	14	9
hsa-miR-6513-3p	3	2	3	0	2	2	0	0	2	1	0	0	1	1	1	0
hsa-miR-3177-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
hsa-miR-3125	0	2	1	1	0	0	1	0	0	0	2	1	0	0	0	1
hsa-miR-376b-5p	12	68	22	7	20	27	15	22	9	7	8	8	23	3	14	7
hsa-miR-3122	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-5196-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-607	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0
hsa-miR-1224-5p	1	1	0	0	0	0	0	1	1	2	4	16	1	4	0	5
hsa-miR-6875-3p	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-874-3p	2947	1040	770	1863	1261	351	1451	1787	332	613	430	645	265	449	564	540
hsa-miR-3937	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
hsa-miR-4670-3p	9	13	2	5	3	8	5	4	4	5	2	1	2	5	4	2
hsa-miR-92a-2-5p	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
hsa-miR-1245b-5p	4	1	2	4	2	0	3	5	5	2	6	8	2	5	1	2
hsa-miR-4709-3p	2	0	1	1	6	2	0	4	0	0	2	3	2	2	0	2
hsa-miR-758-5p	5	25	23	10	8	9	8	9	5	5	9	8	12	12	5	8
hsa-miR-495-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6806-3p	0	0	0	0	0	2	0	0	1	1	1	0	1	0	0	2
hsa-miR-6792-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-6884-3p	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1
hsa-miR-3944-5p	0	2	0	0	0	0	0	1	0	0	0	2	0	1	0	0
hsa-miR-7155-3p	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0
hsa-miR-539-5p	23	68	49	19	31	17	15	25	10	11	13	19	16	6	12	4
hsa-miR-487a-3p	77	315	157	54	102	28	41	99	85	65	54	117	142	35	74	59
hsa-miR-3152-3p	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3939	1	0	0	0	0	0	2	1	2	0	1	7	0	1	1	5
hsa-miR-7151-5p	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-653-3p	17	4	6	17	7	3	11	4	2	2	1	1	0	4	7	3
hsa-miR-609	1	1	0	1	0	1	1	0	1	0	1	1	2	2	3	3
hsa-miR-449c-3p	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
hsa-miR-6874-5p	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
hsa-miR-4710	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-493-5p	1247	4437	3599	1045	2246	968	1331	1894	887	913	679	939	1416	872	1040	643
hsa-miR-514b-5p	0	35	8	1	1	40	0	2	0	0	0	0	0	0	0	0
hsa-miR-203a-5p	0	2	4	1	0	3	0	0	11	15	10	8	9	14	11	11
hsa-miR-3942-5p	2	2	3	2	2	4	3	3	3	9	3	5	4	5	4	6
hsa-miR-29c-5p	150	106	103	98	82	74	103	122	73	54	46	78	55	52	53	60
hsa-miR-4788	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-6802-3p	1	4	0	2	0	1	1	1	1	0	0	3	0	2	1	0
hsa-miR-1292-5p	5	3	2	0	1	5	1	2	3	1	3	0	6	2	4	1
hsa-miR-4731-3p	1	7	2	0	0	1	6	5	1	7	0	1	0	3	3	3
hsa-miR-34b-5p	48	28	74	73	63	15	71	74	1046	1317	1778	2349	2159	1593	4390	5607
hsa-let-7b-3p	248	168	98	107	131	43	160	295	119	184	115	110	60	113	127	104
hsa-miR-126-5p	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0
hsa-miR-6733-5p	0	0	0	0	0	0	2	2	1	2	1	2	0	1	2	0
hsa-miR-6786-3p	2	0	0	0	1	0	1	2	1	1	0	0	3	0	0	0
hsa-miR-4714-3p	1	5	2	2	1	1	1	0	1	1	4	3	3	4	1	1
hsa-miR-330-5p	185	136	203	152	119	75	110	153	222	232	282	284	418	305	209	315
hsa-miR-127-5p	544	2639	1679	641	1006	598	532	1156	453	446	465	706	743	469	499	525
hsa-miR-219a-1-3p	5	11	10	4	1	2	4	8	3	7	8	15	10	6	8	7
hsa-miR-4715-5p	1	2	1	2	1	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-668-5p	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0
hsa-miR-24-3p	7837	5055	5687	6453	6284	7406	3951	5241	8711	6365	5786	6608	11468	6626	6809	4265
hsa-miR-204-5p	220	952	711	1162	325	401	458	1139	716	1450	579	894	1077	1260	1437	669
hsa-miR-103a-2-5p	32	17	14	33	19	7	10	18	22	26	37	30	32	28	28	28
hsa-miR-6132	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6823-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-194-3p	2	7	2	2	3	0	1	1	3	6	8	1	5	5	3	2
hsa-miR-5010-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-202-3p	4	72	55	8	43	46	46	84	1	3	0	0	2	2	0	0
hsa-miR-195-5p	3898	23385	5571	2370	4710	17650	3227	6032	12521	23347	8363	8584	12606	11012	8374	12179
hsa-miR-4755-3p	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1
hsa-miR-1226-5p	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0
hsa-miR-652-5p	4	9	5	4	5	18	4	3	8	6	5	9	23	6	5	13
hsa-miR-3121-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1
hsa-miR-676-3p	2	5	5	6	4	2	1	3	8	14	27	16	5	22	14	7
hsa-miR-501-5p	34	50	28	15	33	14	38	37	32	43	59	117	17	42	26	59
hsa-miR-28-3p	39702	30898	34712	22915	27788	23636	27206	25852	16514	19960	19589	21022	23968	24027	23396	15988
hsa-miR-133b	16	45	15	14	27	40	23	11	2	3	2	9	1	2	5	3
hsa-miR-889-3p	653	2270	1997	578	1212	768	598	984	547	582	664	962	1234	692	648	425
hsa-miR-34a-5p	3280	1728	2226	2461	2110	1082	2395	1542	1714	1497	1380	1116	2040	1745	1122	1037
hsa-miR-5585-5p	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0
hsa-miR-4777-3p	16	3	4	11	9	0	9	6	5	2	1	1	5	1	3	0
hsa-miR-466	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0
hsa-miR-6764-5p	0	2	1	1	0	1	0	0	1	0	1	0	0	1	0	0
hsa-miR-1243	6	16	2	3	7	6	6	6	1	2	0	2	1	1	1	2
hsa-miR-4640-3p	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0
hsa-miR-6735-5p	4	1	1	0	4	1	1	2	1	1	2	1	3	2	0	1
hsa-miR-323a-5p	0	2	0	1	1	0	2	2	0	0	1	1	0	0	2	0
hsa-miR-3127-5p	10	1	2	3	6	0	8	2	3	4	4	5	4	6	5	4
hsa-miR-6845-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4433a-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-490-5p	0	0	0	0	0	0	3	0	0	1	1	2	0	1	0	0
hsa-miR-6514-5p	5	6	2	3	6	1	4	2	4	5	7	3	4	6	6	3
hsa-miR-4284	0	0	3	2	0	1	4	0	2	2	1	3	0	1	3	3
hsa-miR-1248	10	15	27	27	13	44	60	33	107	57	26	33	31	32	41	46
hsa-miR-4725-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-556-5p	2	2	5	0	1	2	1	1	11	14	17	12	4	20	9	5
hsa-miR-6821-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4442	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0
